idna_subject,checker_type,destination,tested_at
012eqatk8v8e.xyz,AVAILABILITY,origin.list,2021-10-01 15:44:41.870891
02194a2ede.com,AVAILABILITY,origin.list,2021-10-01 15:45:27.752576
026404e350.com,AVAILABILITY,origin.list,2021-10-01 15:45:53.662101
03mwz2923rcp.xyz,AVAILABILITY,origin.list,2021-10-01 15:47:06.762561
03y60n.ru,AVAILABILITY,origin.list,2021-10-01 15:47:17.995065
0557jy76t2.com,AVAILABILITY,origin.list,2021-10-01 15:47:53.055288
05hshcw997ty.xyz,AVAILABILITY,origin.list,2021-10-01 15:48:43.619597
066000d2cb07.com,AVAILABILITY,origin.list,2021-10-01 15:49:01.535834
06q8ff33w4dr.xyz,AVAILABILITY,origin.list,2021-10-01 15:49:19.482052
0723b9jkk8.com,AVAILABILITY,origin.list,2021-10-01 15:49:30.783104
07af698ea8a2a5a789b79c2d75ba83d3.com,AVAILABILITY,origin.list,2021-10-01 15:50:02.236598
082so79jae.com,AVAILABILITY,origin.list,2021-10-01 15:50:35.669664
090051982103b828de61.date,AVAILABILITY,origin.list,2021-10-01 15:50:47.669712
099w7v5sdet2.xyz,AVAILABILITY,origin.list,2021-10-01 15:51:28.594905
09up8g9xh7.com,AVAILABILITY,origin.list,2021-10-01 15:51:35.696098
0aqlo2ctf.pro,AVAILABILITY,origin.list,2021-10-01 15:51:43.017698
0b6b168c304df6.com,AVAILABILITY,origin.list,2021-10-01 15:51:53.565304
0c6193c73b6a9.com,AVAILABILITY,origin.list,2021-10-01 15:52:00.997866
0c9fc6246ce.com,AVAILABILITY,origin.list,2021-10-01 15:52:05.274856
0d763f0f5efbaacbe773.date,AVAILABILITY,origin.list,2021-10-01 15:52:17.500985
0d94fcb5af4707682181.date,AVAILABILITY,origin.list,2021-10-01 15:52:29.466181
0e7941396326.com,AVAILABILITY,origin.list,2021-10-01 15:52:44.836490
0efa2b1d897a8f3bcc60.date,AVAILABILITY,origin.list,2021-10-01 15:52:49.915339
0f694b34ccc1b4a.com,AVAILABILITY,origin.list,2021-10-01 15:53:03.964291
0fbbi6mx.space,AVAILABILITY,origin.list,2021-10-01 15:53:17.536058
0fsq1fgipb.ru,AVAILABILITY,origin.list,2021-10-01 15:53:31.611390
0hspzyl31sv15.ru,AVAILABILITY,origin.list,2021-10-01 15:53:45.929812
0tdsprofit.in,AVAILABILITY,origin.list,2021-10-01 15:54:27.333740
1001celebrations.top,AVAILABILITY,origin.list,2021-10-01 15:58:34.757818
100sto.info,AVAILABILITY,origin.list,2021-10-01 16:21:43.227189
102320fef81194c7b0c7c6bbe64d845d.com,AVAILABILITY,origin.list,2021-10-01 16:25:11.352451
