idna_subject,checker_type,destination,source,tested_at,session_id
00000000-0000-0000-0000-000000000000.redinuid.imrworldwide.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.504651,466f95785199f84bcb3b5aac
000000000000000ooooo.000webhostapp.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.507857,466f95785199f84bcb3b5aac
0-0-0-0-0-0-0-0-0-0-0-0-0-37-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.508685,466f95785199f84bcb3b5aac
0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.509512,466f95785199f84bcb3b5aac
000000000a0uutlook.weebly.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.510339,466f95785199f84bcb3b5aac
000000000.fls.doubleclick.net,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.511151,466f95785199f84bcb3b5aac
00000000920.us-south.cf.appdomain.cloud,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.511990,466f95785199f84bcb3b5aac
000000.fls.doubleclick.net,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.512828,466f95785199f84bcb3b5aac
000007.ru,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.513770,466f95785199f84bcb3b5aac
00000.fls.doubleclick.net,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.514651,466f95785199f84bcb3b5aac
000012345000067890000.000webhostapp.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.515682,466f95785199f84bcb3b5aac
00-002.weebly.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.516537,466f95785199f84bcb3b5aac
0.0.0.0aeon-pool.sytes.net,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.517502,466f95785199f84bcb3b5aac
0.0.0.0aimenterprise.blog21.fc2.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.518451,466f95785199f84bcb3b5aac
0.0.0.0alexzver33.wix.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.519404,466f95785199f84bcb3b5aac
0.0.0.0allcoinzftscoin.servebeer.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.520375,466f95785199f84bcb3b5aac
0.0.0.0alt.litebonk.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.521341,466f95785199f84bcb3b5aac
0.0.0.0api.eostribe.io,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.522435,466f95785199f84bcb3b5aac
0.0.0.0api.eosuk.io,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.523430,466f95785199f84bcb3b5aac
0.0.0.0asia01.hxx.chainsilo.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.524497,466f95785199f84bcb3b5aac
0.0.0.0associates.jigsy.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.525634,466f95785199f84bcb3b5aac
0.0.0.0awesomoneyadder.blogspot.in,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.526811,466f95785199f84bcb3b5aac
0.0.0.0axylumnedelat.zzz.com.ua,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.527833,466f95785199f84bcb3b5aac
0.0.0.0bauersagtnein.myeffect.net,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.528912,466f95785199f84bcb3b5aac
0000bbffxzzzz900.000webhostapp.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.530157,466f95785199f84bcb3b5aac
0.0.0.0.beeglivesex.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.531239,466f95785199f84bcb3b5aac
0.0.0.0bezbab.zzz.com.ua,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.532376,466f95785199f84bcb3b5aac
0.0.0.0bitcoin.com,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.533488,466f95785199f84bcb3b5aac
0.0.0.0bitcoin.co.pt,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.534683,466f95785199f84bcb3b5aac
0.0.0.0bitcoinp2pool.zapto.org,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.536123,466f95785199f84bcb3b5aac
0.0.0.0bitcoinz.ph,AVAILABILITY,origin.list,origin.list,2001-09-27 19:52:41.537328,466f95785199f84bcb3b5aac
